tier,company,website,drop_reason
A1,Smart Care Equipment Solutions,smartcaresolutions.com,
A1,Symplr,symplr.com,
A1,UserTesting,usertesting.com,
A1,Worldwide Clinical Trials,worldwide.com,
A1,Buildertrend,buildertrend.com,
A1,Caylent,caylent.com,
A1,DecoPac,decopac.com,
A1,Denodo,denodo.com,
A1,ElevatePFS,elevatepfs.com,
A1,Everservice,everservice.com,
A1,Eze Castle Integration,eci.com,
A1,Huge,hugeinc.com,
A1,Sonatype,sonatype.com,
A1,Valenz Health,valenzhealth.com,
A1,phData,phdata.io,
A1,Bluesight,bluesight.com,
A1,Cuesta Partners,cuestapartners.com,
A1,Docupace,docupace.com,
A1,Fusion Risk Management,fusionrm.com,
A1,Hueman People Solutions,hueman.com,
A1,Ncontracts,ncontracts.com,
A1,Trinamix,trinamix.com,
A1,Michael Baker International,mbakerintl.com,
A1,Pace Analytical Services,pacelabs.com,
A1,TaskUs,taskus.com,
A1,UES,teamues.com,
A1,Woolpert,woolpert.com,
A1,Ardurra Group,ardurra.com,
A1,Businessolver,businessolver.com,
A1,Cielo,cielotalent.com,
A1,ENTRUST Solutions Group,entrustsol.com,
A1,Startek,startek.com,
A1,Trinity Consultants,trinityconsultants.com,
A1,Accurate Group,accurategroup.com,
A1,Class Valuation,classvaluation.com,
A1,1-800 Contacts,1800contacts.com,
A1,Backcountry,backcountry.com,
A1,Cooper's Hawk Winery & Restaurants,chwinery.com,
A1,Hungryroot,hungryroot.com,
A1,Purpose Brands (Anytime Fitness / Orangetheory),purposebrands.com,
A1,Function of Beauty,functionofbeauty.com,
A1,Hanna Andersson,hannaandersson.com,
A1,Tonal,tonal.com,
A1,Anaplan,anaplan.com,
A1,Applied Systems,appliedsystems.com,
A1,Aptean,aptean.com,
A1,Availity,availity.com,
A1,Avalara,avalara.com,
A1,Bottomline Technologies,bottomline.com,
A1,Cision,cision.com,
A1,ConnectWise,connectwise.com,
A1,Coupa Software,coupa.com,
A1,EAB,eab.com,
A1,ECI Software Solutions,ecisolutions.com,
A1,Ellucian,ellucian.com,
A1,Inovalon,inovalon.com,
A1,Instructure,instructure.com,
A1,Integral Ad Science,integralads.com,
A1,Jamf,jamf.com,
A1,Medallia,medallia.com,
A1,Merative,merative.com,
A1,Netsmart Technologies,ntst.com,
A1,NextGen Healthcare,nextgen.com,
A1,PowerSchool,powerschool.com,
A1,Sovos,sovos.com,
A1,Verint Systems,verint.com,
A1,WellSky,wellsky.com,
A1,isolved,isolvedhcm.com,
A1,Acquia,acquia.com,
A1,AvidXchange,avidxchange.com,
A1,Bazaarvoice,bazaarvoice.com,
A1,Boomi,boomi.com,
A1,Bullhorn,bullhorn.com,
A1,CentralSquare Technologies,centralsquare.com,
A1,Constant Contact,constantcontact.com,
A1,Duck Creek Technologies,duckcreek.com,
A1,Emburse,emburse.com,
A1,Everbridge,everbridge.com,
A1,Granicus,granicus.com,
A1,Greenway Health,greenwayhealth.com,
A1,MeridianLink,meridianlink.com,
A1,Mindbody,mindbodyonline.com,
A1,Olo,olo.com,
A1,Optimizely,optimizely.com,
A1,PROS Holdings,pros.com,
A1,Planview,planview.com,
A1,Pluralsight,pluralsight.com,
A1,Renaissance Learning,renaissance.com,
A1,Sitecore,sitecore.com,
A1,SurveyMonkey,surveymonkey.com,
A1,Tricentis,tricentis.com,
A1,Zuora,zuora.com,
A1,Zywave,zywave.com,
A1,iCIMS,icims.com,
A1,Abrigo,abrigo.com,
A1,Accela,accela.com,
A1,Acumatica,acumatica.com,
A1,Allvue Systems,allvuesystems.com,
A1,Birdeye,birdeye.com,
A1,Bonterra,bonterratech.com,
A1,Cority,cority.com,
A1,Experity,experityhealth.com,
A1,Gainsight,gainsight.com,
A1,Greenhouse Software,greenhouse.com,
A1,Jaggaer,jaggaer.com,
A1,Kyruus Health,kyruushealth.com,
A1,LogicMonitor,logicmonitor.com,
A1,Nintex,nintex.com,
A1,Payscale,payscale.com,
A1,Quickbase,quickbase.com,
A1,Salesloft,salesloft.com,
A1,Unanet,unanet.com,
A1,VelocityEHS,ehs.com,
A1,Vendavo,vendavo.com,
A1,WorkWave,workwave.com,
A1,Wrike,wrike.com,
A1,Xactly,xactly.com,
A1,bswift,bswift.com,
A1,Cendyn,cendyn.com,
A1,BlueGrace Logistics,mybluegrace.com,
A1,Lazer Logistics,lazerlogistics.com,
A1,PLS Logistics Services,plslogistics.com,
A2,Andersen Group,andersen.com,
A2,Withum,withum.com,
A2,BPM LLP,bpm.com,
A2,Kearney & Company,kearneyco.com,
A2,Bennett Thrasher,btcpa.net,
A2,BerryDunn,berrydunn.com,
A2,Clark Schaefer Hackett,cshco.com,
A2,Frank Rimerman + Co.,frankrimerman.com,
A2,H&CO,hco.com,
A2,Katz Sapper & Miller (KSM),ksmcpa.com,
A2,Kaufman Rossin,kaufmanrossin.com,
A2,LBMC,lbmc.com,
A2,MGO (Macias Gini & O'Connell),mgocpa.com,
A2,Prager Metis,pragermetis.com,
A2,RKL LLP,rklcpa.com,
A2,SC&H Group,schgroup.com,
A2,Schneider Downs,schneiderdowns.com,
A2,Warren Averett,warrenaverett.com,
A2,Anders CPAs + Advisors,anderscpa.com,
A2,Auxis,auxis.com,
A2,Centri Business Consulting,centriconsulting.com,
A2,Dean Dorton,deandorton.com,
A2,Global Tax Management,gtmtax.com,
A2,HoganTaylor,hogantaylor.com,
A2,Lutz,lutz.us,
A2,PYA,pyapc.com,
A2,REDW,redw.com,
A2,Sensiba,sensiba.com,
A2,Wolf & Company,wolfandco.com,
A2,Alliant Credit Union,alliantcreditunion.org,
A2,Customers Bancorp,customersbank.com,
A2,Digital Federal Credit Union (DCU),dcu.org,
A2,Donegal Group,donegalgroup.com,
A2,Employers Holdings,employers.com,
A2,First Tech Federal Credit Union,firsttechfed.com,
A2,HCI Group,hcigroup.com,
A2,Lemonade,lemonade.com,
A2,Navient,navient.com,
A2,Oportun Financial,oportun.com,
A2,Pagaya Technologies,pagaya.com,
A2,Palomar Holdings,plmr.com,
A2,Paymentus Holdings,paymentus.com,
A2,Regional Management Corp,regionalmanagement.com,
A2,Seacoast Banking Corp of Florida,seacoastbank.com,
A2,The Bancorp Inc,thebancorp.com,
A2,Upstart Holdings,upstart.com,
A2,VyStar Credit Union,vystarcu.org,
A2,WaFd Inc,wafdbank.com,
A2,Bowhead Specialty Holdings,bowheadspecialty.com,
A2,Cardinal Financial,cardinalfinancial.com,
A2,Coastal Financial Corp,coastalbank.com,
A2,Dave Inc,dave.com,
A2,Live Oak Bancshares,liveoakbank.com,
A2,Michigan State University Federal Credit Union,msufcu.org,
A2,Origin Bancorp,origin.bank,
A2,Patelco Credit Union,patelco.org,
A2,Triumph Financial,tfin.com,
A2,Better Home & Finance,better.com,
A2,Open Lending Corp,openlending.com,
A2,Turn 14 Distribution,turn14.com,
A2,Würth Industry North America,wurthindustry.com,
A2,Bossard Americas,bossard.com,
A2,Checkers & Rally's,checkers.com,
A2,Del Taco,deltaco.com,
A2,Black Box,blackbox.com,
A2,Collabera,collabera.com,
A2,Fulcrum IT Partners,fulcrumitpartners.com,
A2,General Datatech (GDT),gdt.com,
A2,Iron Bow Technologies,ironbow.com,
A2,Logicalis US,us.logicalis.com,
A2,Mainline Information Systems,mainline.com,
A2,ThunderCat Technology,thundercattech.com,
A2,CTG (Computer Task Group),ctg.com,
A2,Denali Advanced Integration,denaliai.com,
A2,Genesis10,genesis10.com,
A2,Grid Dynamics,griddynamics.com,
A2,Impact Networking,impactmybiz.com,
A2,Myriad360,myriad360.com,
A2,Sayers,sayers.com,
A2,Sentinel Technologies,sentinel.com,
A2,Evolving Solutions,evolvingsol.com,
A2,Mastech Digital,mastechdigital.com,
A2,Pariveda Solutions,parivedasolutions.com,
A2,2nd Watch,2ndwatch.com,
A2,Launch Consulting Group,launchconsulting.com,
A2,Logic20/20,logic2020.com,
A2,Akerman,akerman.com,
A2,Baker Botts,bakerbotts.com,
A2,Baker Donelson,bakerdonelson.com,
A2,Ballard Spahr,ballardspahr.com,
A2,Barnes & Thornburg,btlaw.com,
A2,Davis Wright Tremaine,dwt.com,
A2,Fenwick & West,fenwick.com,
A2,Fish & Richardson,fr.com,
A2,Fox Rothschild,foxrothschild.com,
A2,Gordon Rees Scully Mansukhani,grsm.com,
A2,Gunderson Dettmer,gunder.com,
A2,Haynes Boone,haynesboone.com,
A2,Husch Blackwell,huschblackwell.com,
A2,Intapp,intapp.com,
A2,Jackson Lewis,jacksonlewis.com,
A2,LegalZoom,legalzoom.com,
A2,Littler Mendelson,littler.com,
A2,Lowenstein Sandler,lowenstein.com,
A2,Manatt Phelps & Phillips,manatt.com,
A2,Ogletree Deakins,ogletree.com,
A2,Shook Hardy & Bacon,shb.com,
A2,Taft Stettinius & Hollister,taftlaw.com,
A2,Womble Bond Dickinson (US),womblebonddickinson.com,
A2,Benesch Friedlander Coplan & Aronoff,beneschlaw.com,
A2,Cole Scott & Kissane,csklegal.com,
A2,FTI Technology,fticonsulting.com,
A2,Fisher Phillips,fisherphillips.com,
A2,Honigman,honigman.com,
A2,KLDiscovery,kldiscovery.com,
A2,Quarles & Brady,quarles.com,
A2,Spencer Fane,spencerfane.com,
A2,Thompson Hine,thompsonhine.com,
A2,TransPerfect Legal Solutions,transperfectlegal.com,
A2,Vorys Sater Seymour and Pease,vorys.com,
A2,Wiley Rein,wiley.law,
A2,Wilson Elser Moskowitz Edelman & Dicker,wilsonelser.com,
A2,Chapman and Cutler,chapman.com,
A2,Elevate Services,elevate.law,
A2,Factor,factor.law,
A2,Fennemore,fennemorelaw.com,
A2,Goldberg Segalla,goldbergsegalla.com,
A2,Michael Best & Friedrich,michaelbest.com,
A2,Offit Kurman,offitkurman.com,
A2,Mayville Engineering Company,mecinc.com,
A2,Roush Enterprises,roush.com,
A2,Shure,shure.com,
A2,Sugar Creek Packing,sugarcreek.com,
A2,G&W Electric,gwelectric.com,
A2,Edelman,edelman.com,
A2,Horizon Media,horizonmedia.com,
A2,Klick Health,klick.com,
A2,Moore,wearemoore.com,
A2,The Brandtech Group,thebrandtechgroup.com,
A2,Weber Shandwick,webershandwick.com,
A2,Amsive,amsive.com,
A2,Assembly,assemblyglobal.com,
A2,Basis Technologies,basis.com,
A2,Jellyfish,jellyfish.com,
A2,VaynerMedia,vaynermedia.com,
A2,APCO,apcoworldwide.com,
A2,Adswerve,adswerve.com,
A2,Code and Theory,codeandtheory.com,
A2,GALE,gale.agency,
A2,Goodway Group,goodwaygroup.com,
A2,Harte Hanks,hartehanks.com,
A2,Kepler Group,keplergrp.com,
A2,Known,known.is,
A2,Mod Op,modop.com,
A2,PMG,pmg.com,
A2,Rightpoint,rightpoint.com,
A2,Ruder Finn,ruderfinn.com,
A2,Empower Media,empowermm.com,
A2,HUNTER,hunterpr.com,
A2,New Engen,newengen.com,
A2,Ovative Group,ovative.com,
A2,Said Differently,saiddifferently.com,
A2,Terakeet,terakeet.com,
A2,Tombras,tombras.com,
A2,Translation,translation.com,
A2,WongDoody,wongdoody.com,
A2,Associa,associaonline.com,
A2,Atrium,atriumworks.com,
A2,Berkadia,berkadia.com,
A2,Brown and Caldwell,brownandcaldwell.com,
A2,Dewberry,dewberry.com,
A2,IBEX Ltd.,ibex.co,
A2,IMA Financial Group Inc.,imacorp.com,
A2,Judge Group,judge.com,
A2,Marcus & Millichap,marcusmillichap.com,
A2,Montrose Environmental Group Inc.,montrose-env.com,
A2,Salas O'Brien,salasobrien.com,
A2,Willdan,willdan.com,
A2,Altus Group,altusgroup.com,
A2,Bowman Consulting Group Ltd.,bowman.com,
A2,HKS,hksinc.com,
A2,SCS Engineers,scsengineers.com,
A2,Thornton Tomasetti,thorntontomasetti.com,
A2,Clear Capital,clearcapital.com,
A2,Newfront,newfront.com,
A2,Walter P Moore,walterpmoore.com,
A2,Citi Trends,cititrends.com,
A2,Duluth Holdings,duluthtrading.com,
A2,Ethan Allen Interiors,ethanallen.com,
A2,FIGS,wearfigs.com,
A2,Fabletics / TechStyle Fashion Group,fabletics.com,
A2,J.Jill,jjill.com,
A2,Mister Car Wash,mistercarwash.com,
A2,Skims,skims.com,
A2,The Lovesac Company,lovesac.com,
A2,The RealReal,therealreal.com,
A2,Thrive Market,thrivemarket.com,
A2,Traeger,traeger.com,
A2,Warby Parker,warbyparker.com,
A2,a.k.a. Brands Holding,aka-brands.com,
A2,Bombas,bombas.com,
A2,Brilliant Earth,brilliantearth.com,
A2,Build-A-Bear Workshop,buildabear.com,
A2,Destination XL Group,dxl.com,
A2,Great Clips,greatclips.com,
A2,Ro,ro.co,
A2,StockX,stockx.com,
A2,Tecovas,tecovas.com,
A2,Therabody,therabody.com,
A2,ThredUp,thredup.com,
A2,Vera Bradley,verabradley.com,
A2,Xponential Fitness,xponential.com,
A2,Zenni Optical,zenni.com,
A2,Ridge (Ridge Wallet),ridge.com,
A2,Alarm.com,alarm.com,
A2,AppFolio,appfolio.com,
A2,Appian,appian.com,
A2,BlackLine,blackline.com,
A2,Braze,braze.com,
A2,Clearwater Analytics,clearwateranalytics.com,
A2,Deltek,deltek.com,
A2,Descartes Systems Group,descartes.com,
A2,DoubleVerify,doubleverify.com,
A2,Doximity,doximity.com,
A2,Kinaxis,kinaxis.com,
A2,Navan,navan.com,
A2,PointClickCare,pointclickcare.com,
A2,Q2 Holdings,q2.com,
A2,Rippling,rippling.com,
A2,SPS Commerce,spscommerce.com,
A2,ServiceTitan,servicetitan.com,
A2,Sprinklr,sprinklr.com,
A2,Vertex Inc,vertexinc.com,
A2,Workiva,workiva.com,
A2,eClinicalWorks,eclinicalworks.com,
A2,nCino,ncino.com,
A2,Agilysys,agilysys.com,
A2,Alkami Technology,alkami.com,
A2,Amplitude,amplitude.com,
A2,Attentive,attentive.com,
A2,Calendly,calendly.com,
A2,Domo,domo.com,
A2,Entrata,entrata.com,
A2,Gong,gong.io,
A2,Health Catalyst,healthcatalyst.com,
A2,Motive,gomotive.com,
A2,N-able,n-able.com,
A2,Outreach,outreach.io,
A2,Phreesia,phreesia.com,
A2,PowerFleet,powerfleet.com,
A2,Seismic,seismic.com,
A2,Sprout Social,sproutsocial.com,
A2,Yext,yext.com,
A2,Zapier,zapier.com,
A2,o9 Solutions,o9solutions.com,
A2,6sense,6sense.com,
A2,ActiveCampaign,activecampaign.com,
A2,Arcadia,arcadia.io,
A2,Blend Labs,blend.com,
A2,CentralReach,centralreach.com,
A2,Clari,clari.com,
A2,CompanyCam,companycam.com,
A2,Definitive Healthcare,definitivehc.com,
A2,Eightfold AI,eightfold.ai,
A2,FourKites,fourkites.com,
A2,Highspot,highspot.com,
A2,Housecall Pro,housecallpro.com,
A2,Innovaccer,innovaccer.com,
A2,Iterable,iterable.com,
A2,Ivalua,ivalua.com,
A2,Jobber,getjobber.com,
A2,Lattice,lattice.com,
A2,OpenGov,opengov.com,
A2,Phenom,phenom.com,
A2,Podium,podium.com,
A2,Restaurant365,restaurant365.com,
A2,Tebra,tebra.com,
A2,Upland Software,uplandsoftware.com,
A2,Weave Communications,getweave.com,
A2,project44,project44.com,
A2,TA Services,taservices.com,
A2,Transervice Logistics / Lily Transportation,transervice.com,
B,Holthouse Carlin & Van Trigt (HCVT),hcvt.com,
B,Weaver,weaver.com,
B,Anchin,anchin.com,
B,Blue & Co.,blueandco.com,
B,Grassi Advisory Group,grassiadvisors.com,
B,Hill Barth & King (HBK),hbkcpa.com,
B,Mauldin & Jenkins,mjcpa.com,
